date,product_id,product_name,quantity_sold,is_weekend
2026-05-09,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,33,1
2026-05-10,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,38,1
2026-05-11,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-05-12,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-05-13,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,31,0
2026-05-14,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,0
2026-05-15,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-05-16,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,34,1
2026-05-17,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,31,1
2026-05-18,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,17,0
2026-05-19,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,18,0
2026-05-20,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-05-21,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,20,0
2026-05-22,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-05-23,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,1
2026-05-24,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,37,1
2026-05-25,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,25,0
2026-05-26,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,19,0
2026-05-27,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-05-28,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,25,0
2026-05-29,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,20,0
2026-05-30,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,32,1
2026-05-31,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,1
2026-06-01,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,32,0
2026-06-02,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-06-03,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,20,0
2026-06-04,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,0
2026-06-05,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,20,0
2026-06-06,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,1
2026-06-07,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,27,1
2026-06-08,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,27,0
2026-06-09,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,25,0
2026-06-10,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-06-11,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-06-12,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,19,0
2026-06-13,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,1
2026-06-14,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,37,1
2026-06-15,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,17,0
2026-06-16,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-06-17,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-06-18,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-06-19,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,27,0
2026-06-20,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,38,1
2026-06-21,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,1
2026-06-22,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-06-23,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,0
2026-06-24,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-06-25,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-06-26,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,20,0
2026-06-27,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,1
2026-06-28,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,37,1
2026-06-29,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,0
2026-06-30,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-07-01,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-07-02,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-07-03,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,31,0
2026-07-04,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,35,1
2026-07-05,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,1
2026-07-06,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,25,0
2026-07-07,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-07-08,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,25,0
2026-07-09,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,17,0
2026-07-10,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,24,0
2026-07-11,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,36,1
2026-07-12,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,1
2026-07-13,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-07-14,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,28,0
2026-07-15,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-07-16,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,22,0
2026-07-17,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,27,0
2026-07-18,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,34,1
2026-07-19,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,29,1
2026-07-20,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,23,0
2026-07-21,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,19,0
2026-07-22,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
2026-07-23,fc0cf87d-080a-4dfb-8206-8d2704715745,Indomie Goreng,26,0
